"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.476776750E0,-1.444196777E0,-8.011490021E0,-2.545157318E0,8.529214645E0
2.486833750E0,-1.636247406E0,-7.726632385E0,-2.109563141E0,8.174864539E0
2.496889750E0,-1.675465851E0,-7.290140076E0,-1.744622040E0,7.680952688E0
2.506946750E0,-1.668280792E0,-6.845564575E0,-1.440604248E0,7.191679620E0
2.517003750E0,-1.594184875E0,-6.496340790E0,-1.338516541E0,6.821693016E0
2.527060750E0,-1.386566620E0,-6.020031281E0,-8.875044250E-1,6.241074244E0
2.537117750E0,-1.280137939E0,-5.894741821E0,-6.313870239E-1,6.065095536E0
2.547174750E0,-1.263073425E0,-5.934409332E0,-6.274951172E-1,6.099698249E0
2.557231750E0,-1.317560120E0,-5.610183563E0,-4.085005188E-1,5.777282835E0
2.567288750E0,-1.418300629E0,-5.497168579E0,-2.574645996E-1,5.683020947E0
2.577345750E0,-1.545985107E0,-5.452860718E0,-1.709445190E-1,5.670359952E0
2.587402750E0,-1.695524139E0,-5.359604645E0,-1.249900818E-1,5.622791707E0
2.597458750E0,-1.862427063E0,-5.266797638E0,-5.284011841E-2,5.586643357E0
2.607515750E0,-2.058968353E0,-5.254223785E0,5.882766724E-2,5.643551981E0
2.617572750E0,-2.324366455E0,-5.480702820E0,3.453318787E-1,5.963223702E0
2.627629750E0,-2.492167511E0,-5.726192322E0,8.207432556E-1,6.298713908E0
2.637686750E0,-2.469115448E0,-5.949078827E0,1.236428833E0,6.558721388E0
2.647743750E0,-2.349065094E0,-6.338568878E0,1.606159973E0,6.948043761E0
2.657800750E0,-1.958377533E0,-6.634503479E0,2.157762909E0,7.246227967E0
2.667857750E0,-1.190474396E0,-6.962621155E0,2.889291687E0,7.631731723E0
2.677914750E0,-2.643502808E-1,-7.419471130E0,3.465144196E0,8.193024913E0
2.687970750E0,6.352789307E-1,-8.089477844E0,3.737577667E0,8.933796390E0
2.698027750E0,1.317709808E0,-8.994196472E0,3.612437897E0,9.781699079E0
2.708084750E0,1.951791229E0,-1.008258316E1,3.430865479E0,1.082768720E1
2.718141750E0,2.468965759E0,-1.134086655E1,3.003953247E0,1.198894412E1
2.728198750E0,2.812501373E0,-1.272593628E1,2.558778992E0,1.328182849E1
2.738255750E0,3.171754303E0,-1.390144180E1,2.277214508E0,1.443938418E1
2.748312750E0,3.582799530E0,-1.467907471E1,2.118843842E0,1.525782376E1
2.758369750E0,4.009262695E0,-1.481334549E1,2.265089722E0,1.551257630E1
2.768426750E0,4.587061157E0,-1.456576035E1,2.350861359E0,1.545085932E1
2.778483750E0,5.329666901E0,-1.388332947E1,2.288590851E0,1.504625649E1
2.788539750E0,6.131250000E0,-1.337453751E1,2.259102173E0,1.488536270E1
2.798596750E0,6.773115234E0,-1.336046677E1,2.186054077E0,1.513789928E1
2.808653750E0,7.069798279E0,-1.375220215E1,1.919308777E0,1.558168341E1
2.818710750E0,6.871909790E0,-1.411953827E1,1.575473785E0,1.578184472E1
2.828767750E0,6.522236938E0,-1.420261551E1,1.401984558E0,1.569138052E1
2.838824750E0,6.082451477E0,-1.369187759E1,1.690734100E0,1.507721161E1
2.848881750E0,5.528154144E0,-1.250948639E1,2.174078979E0,1.384826189E1
2.858938750E0,5.018913116E0,-1.131287476E1,2.398761749E0,1.260653331E1
2.868995750E0,4.588408356E0,-1.073178314E1,2.195035400E0,1.187614588E1
2.879051750E0,3.986210632E0,-1.077130096E1,1.435065765E0,1.157455025E1
2.889108750E0,3.287763062E0,-1.084809128E1,4.501139832E-1,1.134429693E1
2.899165750E0,2.940784607E0,-1.120899078E1,-1.407073975E-1,1.158919700E1
2.909222750E0,2.742896118E0,-1.158141632E1,-8.255332947E-1,1.193038928E1
2.919275958E0,1.898352356E0,-1.197943863E1,-3.031945038E0,1.250213511E1
2.929332958E0,1.084494781E0,-1.204934326E1,-2.730921021E0,1.240244861E1
2.939389958E0,3.998185730E-1,-1.206176743E1,1.116677856E-1,1.206890873E1
2.949446958E0,6.077362061E-2,-1.187959625E1,2.413580933E0,1.212245328E1
2.959503958E0,-1.181044006E-1,-1.161883850E1,3.535048828E0,1.214528415E1
2.969559958E0,4.601431274E-1,-1.065140030E1,3.198398895E0,1.113075988E1
2.979616958E0,1.174008636E0,-9.762848053E0,2.115101624E0,1.005808895E1
2.989673958E0,1.280886383E0,-9.304650879E0,1.359772339E0,9.490320264E0
2.999730958E0,1.619182892E0,-9.166488190E0,1.880689087E0,9.496486214E0
3.009787958E0,1.783840485E0,-8.977131958E0,2.054328003E0,9.380365057E0
3.019844958E0,1.868115234E0,-8.420289917E0,1.688039703E0,8.788663997E0
3.029901958E0,1.995350647E0,-7.840096436E0,1.223854980E0,8.182075369E0
3.039958958E0,2.087409210E0,-7.132218475E0,6.887178040E-1,7.463253299E0
3.050015958E0,2.063009949E0,-6.414011993E0,2.671943665E-1,6.742918710E0
3.060072958E0,1.929786987E0,-5.839955750E0,3.188369751E-2,6.150624159E0
3.070128958E0,1.805994415E0,-5.319039001E0,-5.807922363E-2,5.617576428E0
3.080185958E0,1.707199860E0,-4.869523773E0,-9.460327148E-2,5.160982747E0
3.090242958E0,1.581311646E0,-4.606969757E0,-1.516346741E-1,4.873162211E0
3.100299958E0,1.413510590E0,-4.536166992E0,-6.092330933E-2,4.751687576E0
3.110356958E0,1.301543427E0,-4.490811310E0,2.409988403E-2,4.675679877E0
3.120413958E0,1.173858948E0,-4.605772247E0,1.077758789E-1,4.754229534E0
3.130470958E0,1.075363770E0,-4.831951904E0,2.121089172E-1,4.954710550E0
3.140527958E0,9.556127930E-1,-5.085075531E0,3.468287659E-1,5.185699486E0
3.150584958E0,9.407936096E-1,-5.501210175E0,6.304888916E-1,5.616575669E0
3.160640958E0,9.346563721E-1,-5.904471588E0,9.172924805E-1,6.047957735E0
3.170697958E0,9.039701843E-1,-6.454577637E0,1.177900543E0,6.623155158E0
3.180754958E0,8.550219727E-1,-7.012168121E0,1.443598022E0,7.210099832E0
3.190811958E0,7.514373779E-1,-7.451953583E0,1.831591187E0,7.710447238E0
3.200868958E0,6.872209167E-1,-7.822433167E0,2.188898163E0,8.151932801E0
3.210925958E0,7.390132141E-1,-8.288863220E0,2.487976227E0,8.685702028E0
3.220982958E0,7.937992859E-1,-9.163344727E0,2.574196930E0,9.551099084E0
